Movie Name,Movie Link
Sholay,https://www.imdb.com/title/tt0073707/
The Grand Illusion,https://www.imdb.com/title/tt0028950/
Jean de Florette,https://www.imdb.com/title/tt0091288/
A Short Film About Love,https://www.imdb.com/title/tt0095467/
Munna Bhai M.B.B.S.,https://www.imdb.com/title/tt0374887/
Farha,https://www.imdb.com/title/tt11555492/
Viridiana,https://www.imdb.com/title/tt0055601/
OMG: Oh My God!,https://www.imdb.com/title/tt2283748/
A Christmas Carol,https://www.imdb.com/title/tt0044008/
Tangerines,https://www.imdb.com/title/tt2991224/
Chak De! India,https://www.imdb.com/title/tt0871510/
Barfi!,https://www.imdb.com/title/tt2082197/
The Fog of War,https://www.imdb.com/title/tt0317910/
The Circus,https://www.imdb.com/title/tt0018773/
The Bandit,https://www.imdb.com/title/tt0116231/
Kahaani,https://www.imdb.com/title/tt1821480/
Thuppakki,https://www.imdb.com/title/tt2187153/
Black,https://www.imdb.com/title/tt0375611/
Her Sey Çok Güzel Olacak,https://www.imdb.com/title/tt0263438/
Dara of Jasenovac,https://www.imdb.com/title/tt10554232/
Masaan,https://www.imdb.com/title/tt4635372/
Sarfarosh,https://www.imdb.com/title/tt0200087/
Udaan,https://www.imdb.com/title/tt1639426/
Queen,https://www.imdb.com/title/tt3322420/
Seaspiracy,https://www.imdb.com/title/tt14152756/
Article 15,https://www.imdb.com/title/tt10324144/
Anand,https://www.imdb.com/title/tt0066763/
Cowspiracy: The Sustainability Secret,https://www.imdb.com/title/tt3302820/
Kaththi,https://www.imdb.com/title/tt3801314/
The Tashkent Files,https://www.imdb.com/title/tt8108268/
Dune,https://www.imdb.com/title/tt1160419/
Deadpool,https://www.imdb.com/title/tt1431045/
Blade Runner 2049,https://www.imdb.com/title/tt1856101/
The Princess Bride,https://www.imdb.com/title/tt0093779/
Young Frankenstein,https://www.imdb.com/title/tt0072431/
La La Land,https://www.imdb.com/title/tt3783958/
Donnie Darko,https://www.imdb.com/title/tt0246578/
Her,https://www.imdb.com/title/tt1798709/
